"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"600027","Belinda Lewis","SCS2","British Ambassador","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Middle East & North Africa","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600023","0","1.00","90000","94999","","Policy Profession","Overseas","","1"
"600029","Tim Jones","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Strategy","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600023","14958820","1.00","95000","99999","","Policy Profession","London","","1"
"600030","Desmond Neil Patrick Wigan","SCS2","British Ambassador","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Middle East & North Africa","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600023","0","1.00","95000","99999","","Policy Profession","Overseas","","1"
"600032","Edward Oakden","SCS2","British Ambassador","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Middle East & North Africa","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600023","0","1.00","105000","109999","","Policy Profession","Overseas","","1"
"600033","Vel Gnanendran","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Climate & Environment","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800003","5528571","1.00","110000","114999","","Policy Profession","London","","1"
"600036","Martin Harris","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Eastern Europe & Central Asia","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800013","7251879","1.00","95000","99999","","Policy Profession","London","","1"
"600037","Martyn Roper","SCS2","Governor","Governing the overseas territory","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Overseas Territories","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600118","0","1.00","0","0","","Policy Profession","Overseas","","1"
"600038","Susannah Clare Goshko","SCS2","British High Commisioner","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Americas & SIDS","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600150","0","1.00","95000","99999","","Policy Profession","Overseas","","1"
"600040","Hugo Shorter","SCS2","British Ambassador","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Afghanistan, Pakistan & Iran","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800007","11866529","1.00","90000","94999","","Policy Profession","Overseas","","1"
"600041","Michael Tatham","SCS2","Deputy Head of Mission","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Americas & SIDS","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600105","0","1.00","95000","99999","","Policy Profession","Overseas","","1"
"600043","John Rankin","SCS2","Governor","Governing the overseas territory","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Overseas Territories","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600118","0","1.00","90000","94999","","Policy Profession","Overseas","","1"
"600044","Christina Scott","SCS2","Deputy Head of Mission","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Indo-Pacific (NE Asia & China)","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","700010","0","1.00","95000","99999","","Policy Profession","Overseas","","1"
"600045","Ben Mellor","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Indo-Pacific (India & Indian Ocean)","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800005","7232630","1.00","95000","99999","","Policy Profession","London","","1"
"600046","Colin Martin-Reynolds","SCS2","British Ambassador","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Americas & SIDS","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600150","0","1.00","90000","94999","","Policy Profession","Overseas","","1"
"600047","Nigel Casey","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Afghanistan, Pakistan & Iran","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800007","8082062","1.00","95000","99999","","Policy Profession","London","","1"
"600048","Simon Shercliff","SCS2","British Ambassador","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Afghanistan, Pakistan & Iran","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600047","0","1.00","95000","99999","","Policy Profession","Overseas","","1"
"600049","Louise De Sousa","SCS2","British Ambassador","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Americas & SIDS","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600150","0","1.00","90000","94999","","Policy Profession","Overseas","","1"
"600050","Paul Berman","SCS2","Legal Adviser","Providing legal advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Legal","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800012","0","1.00","90000","94999","","Policy Profession","London","","1"
"600051","Samantha Job","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Defence & International Security","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800007","4608051","1.00","95000","99999","","Policy Profession","London","","1"
"600052","Liane Saunders","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Strategy","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","900001","0","1.00","95000","99999","","Policy Profession","London","","1"
"600054","Edward Hobart","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Estates, Security & Network","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800002","8799627","1.00","95000","99999","","Policy Profession","London","","1"
"600055","Jonathan Benjamin","SCS2","British Ambassador","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Americas & SIDS","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600150","0","1.00","90000","94999","","Policy Profession","Overseas","","1"
"600056","Kate White","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Trade","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800005","5643791","1.00","95000","99999","","Policy Profession","London","","1"
"600060","Melinda Simmons","SCS2","British Ambassador","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Eastern Europe & Central Asia","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","700015","0","1.00","90000","94999","","Policy Profession","Overseas","","1"
"600061","Jennifer Anderson","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Consular & Crisis","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800007","8709623","1.00","90000","94999","","Policy Profession","London","","1"
"600063","Stefan Dercon","SCS2","Policy Advisor","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Principal Private Secretary","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800004","0","0.41","145000","149999","","Policy Profession","London","","1"
"600065","Robert Chatterton-Dickson","SCS2","British High Commisioner","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Indo-Pacific (India & Indian Ocean)","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800005","0","1.00","90000","94999","","Policy Profession","Overseas","","1"
"600066","James Kariuki","SCS2","British Consul-General","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Multilateral, Sanctions & Strategic Engagement","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","700017","0","1.00","95000","99999","","Policy Profession","Overseas","","1"
"600067","Deborah Palmer","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Africa (West & Southern)","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800001","18089338","1.00","95000","99999","","Policy Profession","London","","1"
"600069","Zamir Catsaras","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Principal Private Secretary","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","900001","4149799","1.00","90000","94999","","Policy Profession","London","","1"
"600070","Ajay Sharma","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Europe","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800013","0","1.00","90000","94999","","Policy Profession","London","","1"
"600071","Sarah Taylor","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Europe","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800013","0","1.00","95000","99999","","Policy Profession","London","","1"
"600073","Nicholas Bridge","SCS2","Envoy","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Climate & Environment","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800003","0","1.00","90000","94999","","Policy Profession","London","","1"
"600074","Giles Portman","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Europe","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800013","0","1.00","90000","94999","","Policy Profession","London","","1"
"600075","Robert Tinline","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Global Health/C-19","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800003","0","1.00","90000","94999","","Policy Profession","London","","1"
"600076","Catherine Nettleton","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Global Health/C-19","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800003","0","1.00","90000","94999","","Policy Profession","London","","1"
"600077","Damian Todd","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Development & Parliament","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800003","12623988","1.00","95000","99999","","Policy Profession","London","","1"
"600079","Nigel Dakin","SCS2","Governor","Governing the overseas territory","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Overseas Territories","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600118","0","1.00","120000","124999","","Policy Profession","Overseas","","1"
"600080","Andrew Noble","SCS2","British Ambassador","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Europe","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600071","0","1.00","90000","94999","","Policy Profession","Overseas","","1"
"600082","Matthew Lodge","SCS2","British Ambassador","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Europe","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","700002","0","1.00","95000","99999","","Policy Profession","Overseas","","1"
"600083","Richard Wood","SCS2","British Ambassador","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Europe","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600087","0","1.00","90000","94999","","Policy Profession","Overseas","","1"
"600084","Alexander Rycroft","SCS2","Deputy Head of Mission","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Europe","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","700026","0","1.00","95000","99999","","Policy Profession","Overseas","","1"
"600085","Jill Morris","SCS2","Temporary Position","Temporary, Training or Departmental Positions","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Development & Parliament","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800004","0","1.00","95000","99999","","Policy Profession","London","","1"
"600086","Joanna Roper","SCS2","British Ambassador","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Europe","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600071","0","1.00","95000","99999","","Policy Profession","Overseas","","1"
"600087","Judith Gough","SCS2","British Ambassador","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Europe","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600071","0","1.00","90000","94999","","Policy Profession","Overseas","","1"
"600088","Nicholas Pickard","SCS2","Deputy Head of Mission","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Defence & International Security","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","700016","0","1.00","95000","99999","","Policy Profession","Overseas","","1"
"600089","Rena Lalgie","SCS2","Governor","Governing the overseas territory","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Overseas Territories","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600118","0","1.00","0","0","","Policy Profession","Overseas","","1"
"600090","Emma Hopkins","SCS2","British Ambassador","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Europe","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600087","0","1.00","90000","94999","","Policy Profession","Overseas","","1"
"600091","John Baugh","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Europe","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","700002","0","1.00","90000","94999","","Policy Profession","Overseas","","1"
"600092","Victoria Treadell","SCS2","British High Commisioner","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Indo-Pacific (SE Asia & Pacific)","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","700028","0","1.00","90000","94999","","Policy Profession","Overseas","","1"
"600093","Edward O'Donnell","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Europe","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","700002","0","1.00","90000","94999","","Policy Profession","Overseas","","1"
"600094","Mark Gooding","SCS2","British Ambassador","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Indo-Pacific (SE Asia & Pacific)","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","700028","0","1.00","95000","99999","","Policy Profession","Overseas","","1"
"600096","Owen Jenkins","SCS2","British Ambassador","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Indo-Pacific (SE Asia & Pacific)","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","700028","0","1.00","90000","94999","","Policy Profession","Overseas","","1"
"600098","Charles Hay","SCS2","British High Commisioner","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Indo-Pacific (SE Asia & Pacific)","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","700028","0","1.00","90000","94999","","Policy Profession","Overseas","","1"
"600099","Kara Owen","SCS2","British High Commisioner","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Indo-Pacific (SE Asia & Pacific)","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","700028","0","1.00","95000","99999","","Policy Profession","Overseas","","1"
"600100","Gareth Bayley","SCS2","British Ambassador","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Africa (East & Central)","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600159","0","1.00","95000","99999","","Policy Profession","Overseas","","1"
"600101","Lindsay Skoll","SCS2","British Ambassador","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Europe","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600071","0","1.00","95000","99999","","Policy Profession","Overseas","","1"
"600104","Kirsty Hayes","SCS2","British Ambassador","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Americas & SIDS","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600150","0","1.00","90000","94999","","Policy Profession","Overseas","","1"
"600105","Karen Pierce","SCS4","British Ambassador","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Americas & SIDS","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800003","0","1.00","150000","154999","","Policy Profession","Overseas","","1"
"600108","Paul McKell","SCS2","Legal Adviser","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Legal","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800012","0","1.00","95000","99999","","Policy Profession","London","","1"
"600109","Peter Vowles","SCS2","British Ambassador","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Indo-Pacific (SE Asia & Pacific)","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800005","0","1.00","120000","124999","","Policy Profession","Overseas","","1"
"600111","Helen Bower","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Communications & Engagement","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","900001","4478893","1.00","100000","104999","","Policy Profession","London","","1"
"600112","David Steel","SCS2","Governor","Governing the overseas territory","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Europe","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600071","0","1.00","90000","94999","","Policy Profession","Overseas","","1"
"600113","William Macfarlane","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Europe","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","700002","0","1.00","105000","109999","","Policy Profession","Overseas","","1"
"600114","Rita French","SCS2","Deputy Head of Mission","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Multilateral, Sanctions & Strategic Engagement","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","700007","0","1.00","90000","94999","","Policy Profession","Overseas","","1"
"600116","Christopher Rampling","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","National Security","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800007","8581454","1.00","95000","99999","","Policy Profession","London","","1"
"600117","Christopher Williams","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Open Societies & Human Rights","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800001","6562749","1.00","95000","99999","","Policy Profession","London","","1"
"600118","Paul Candler","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Overseas Territories","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800003","3842651","1.00","95000","99999","","Policy Profession","London","","1"
"600120","Nigel Phillips","SCS2","Governor","Governing the overseas territory","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Overseas Territories","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600118","0","1.00","105000","109999","","Policy Profession","Overseas","","1"
"600121","Joseph White","SCS2","British Consul-General","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Americas & SIDS","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600105","0","1.00","90000","94999","","Policy Profession","Overseas","","1"
"600123","Victoria Busby","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Protocol","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800002","3036874","1.00","90000","94999","","Policy Profession","London","","1"
"600124","Dileeni Daniel-Selvaratnam","SCS2","Governor","Governing the overseas territory","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Overseas Territories","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600118","0","1.00","100000","104999","","Policy Profession","Overseas","","1"
"600125","Sian MacLeod","SCS2","British Ambassador","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Europe","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600074","0","1.00","90000","94999","","Policy Profession","Overseas","","1"
"600126","Stephen Lillie","SCS2","British Ambassador","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Europe","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600074","0","1.00","95000","99999","","Policy Profession","Overseas","","1"
"600127","Laure Beaufils","SCS2","British Ambassador","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Indo-Pacific (SE Asia & Pacific)","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","700028","0","1.00","75000","79999","","Policy Profession","Overseas","","1"
"600128","Mervyn Thomas","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Chief People Officer","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800002","14566741","1.00","130000","134999","","Policy Profession","London","","1"
"600129","Benjamin Merrick","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Joint Funds Unit","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600118","2361632","1.00","95000","99999","","Policy Profession","London","","1"
"600132","Thomas Cargill","SCS2","Director","Head of FCDO Agency","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Wilton Park","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","900001","2700620","1.00","95000","99999","","Policy Profession","South East","","1"
"600150","Iain Walker","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Americas & SIDS","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800003","0","1.00","120000","124999","","Policy Profession","London","","1"
